b,h,h0,ah,l,fc,ft,fy1,As1,Vu
153.924,304.8,269.494,1.008482564,1457.96,22.7737931,2.41967076,366.2068966,1129.03,239.5248
154.686,304.8,274.32,0.990740741,1457.96,29.40413793,2.784783715,380.6896552,1122.5784,253.536
151.638,304.8,274.828,1.974121996,1999.488,29.0582069,2.766716555,368.9655172,1122.5784,147.0064
153.416,304.8,275.082,1.975992613,2001.52,29.40413793,2.784783715,380.6896552,1122.5784,125.4336
156.21,304.8,272.542,2.24,2135.38816,21.21710345,2.327256082,373.1034483,1155.926437,102.5264
158.242,304.8,275.59,2.21,2132.5078,21.90896552,2.36869341,345.5172414,1155.926437,58.0464
153.162,304.8,270.51,1.5,1725.93,21.15944828,2.323775717,345.5172414,1155.926437,174.3616
170,300,270,1.5,1080,41.67920792,3.297438724,477,860,212.517
170,300,270,1.5,1080,41.67920792,3.297438724,477,860,215.271
203.2,457.2,390.144,2.180989583,1828.8,25.36827586,2.567596918,364.8275862,1583.460872,109.8656
203.2,457.2,390.144,2.180989583,1828.8,24.96468966,2.545049401,364.8275862,2375.191308,170.3584
190,320,270,1.481481481,1150,25.423596,2.570674921,464.994,1061.858317,260.344392
190,320,270,2,1450,25.423596,2.570674921,464.994,1061.858317,147.6972
101.6,457.2,406.4,0.3,406.4,28.25103448,2.724179483,409.6551724,395.865218,444.9585743
101.6,457.2,406.4,0.3,609.6,29.40413793,2.784783715,409.6551724,395.865218,445.0718417
101.6,457.2,406.4,0.3,812.8,25.19531034,2.55795361,391.7241379,395.865218,367.3451091
101.6,457.2,406.4,0.3,1016,26.69434483,2.640568382,409.6551724,395.865218,400.8183765
203.2,457.2,402.844,1.513240858,1828.8,21.21710345,2.327256082,266.8965517,2492.89824,312.9168
203.2,457.2,402.844,1.513240858,1828.8,19.19917241,2.202785465,266.8965517,2492.89824,310.6928
203.2,457.2,402.844,1.513240858,1828.8,18.27668966,2.143929341,465.5172414,1542.57756,261.7648
203.2,457.2,402.844,1.513240858,1828.8,22.08193103,2.378960326,465.5172414,1542.57756,312.9168
203.2,457.2,402.844,1.513240858,1828.8,21.50537931,2.344594442,489.6551724,1517.41632,288.4528
203.2,457.2,402.844,1.513240858,1828.8,21.39006897,2.337671725,489.6551724,1517.41632,290.6768
203.2,457.2,402.844,1.513240858,1828.8,20.17931034,2.263942009,443.2067067,1523.22276,290.788
203.2,457.2,402.844,1.513240858,1828.8,20.81351724,2.302803255,443.2067067,1523.22276,304.0208
203.2,457.2,402.844,1.513240858,1828.8,22.54317241,2.406163255,697.6787216,952.25616,268.4368
203.2,457.2,402.844,1.513240858,1828.8,18.73793103,2.173520408,711.7241379,615.48264,222.4
203.2,457.2,402.844,1.513240858,1828.8,22.31255172,2.392593422,711.7241379,615.48264,223.9568
203.2,457.2,402.844,1.513240858,1828.8,21.33241379,2.33420407,697.9310345,615.48264,179.4768
203.2,457.2,402.844,1.513240858,1828.8,19.08386207,2.195499135,697.9310345,615.48264,188.5952
177.8,609.6,533.4,1.523809524,2438.4,17.23889655,2.076094067,315.1724138,2578.905956,304.5783245
177.8,609.6,533.4,1.523809524,2438.4,20.35227586,2.274594379,313.1034483,3269.073972,268.9943245
177.8,609.6,533.4,1.523809524,2438.4,17.87310345,2.117760313,315.1724138,2578.905956,349.0583245
177.8,609.6,533.4,1.523809524,2438.4,19.14151724,2.199144769,315.1724138,2578.905956,357.9543245
177.8,609.6,533.4,1.523809524,2438.4,19.48744828,2.220915621,313.1034483,3166.921744,304.5783245
304.8,406.4,368.3,1.206896552,1066.8,22.02427586,2.375542055,404.137931,2121.837569,501.325017
304.8,406.4,368.3,1.689655172,1422.4,24.90703448,2.541814978,404.8275862,2802.725744,523.8293076
304.8,406.4,368.3,1.689655172,1422.4,22.65848276,2.412924741,422.7586207,2121.837569,397.0613076
304.8,406.4,368.3,2.172413793,1778,23.00441379,2.43311685,332.4137931,2802.725744,323.9335981
304.8,406.4,368.3,2.172413793,1778,27.04027586,2.659334313,441.3793103,2121.837569,257.2135981
304.8,406.4,368.3,2.172413793,1778,27.67448276,2.693460148,428.9655172,1425.114785,268.3335981
308.102,406.4,368.3,2.172413793,1778,38.4490865,3.190805843,455.1724138,4237.047404,335.0693454
304.8,406.4,368.3,2.172413793,1778,36.19391688,3.103626712,451.7241379,2121.837569,323.9335981
152.4,336.55,298.45,1.414893617,895.35,35.52265567,3.076771754,413.7931034,1520.122437,311.388912
152.4,336.55,298.45,1.414893617,895.35,59.35665337,3.695715615,413.7931034,1520.122437,275.640336
152,304,272,2.148088235,1218.56,28.49088,2.736875534,630,603.1857895,49
152,304,272,2.148088235,1218.56,28.82528,2.754496763,630,603.1857895,71
